Head,Name,Manufacturer,Model,Mode,Universe,Address,X Pos(MagicQ),Y Pos(MagicQ),Z Pos(MagicQ),X Rot(MagicQ),Y Rot(MagicQ),Z Rot(MagicQ),X Pos(Unity),Y Pos(Unity),Z Pos(Unity),X Rot(Unity),Y Rot(Unity),Z Rot(Unity)
1,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0m,0m,0m,-90°,180°,0°,0,0,0,0,0,0
2,MovingLight_71,Generic Dimmer,Generic Dimmer,1ch,0,1,-6.16m,9.07m,-4.65m,0°,180°,0°,-6.155,9.073,4.65,90,0,0
7,MovingLight_72,Generic Dimmer,Generic Dimmer,1ch,0,1,-4.63m,9.07m,-4.65m,0°,180°,0°,-4.629,9.073,4.65,90,0,0
12,MovingLight_73,Generic Dimmer,Generic Dimmer,1ch,0,1,-3.08m,9.07m,-4.65m,0°,180°,0°,-3.08,9.073,4.65,90,0,0
17,MovingLight_74,Generic Dimmer,Generic Dimmer,1ch,0,1,-1.54m,9.07m,-4.65m,0°,180°,0°,-1.536,9.073,4.65,90,0,0
22,MovingLight_75,Generic Dimmer,Generic Dimmer,1ch,0,1,0m,9.07m,-4.65m,0°,180°,0°,-0.005,9.073,4.65,90,0,0
27,MovingLight_76,Generic Dimmer,Generic Dimmer,1ch,0,1,1.55m,9.07m,-4.65m,0°,180°,0°,1.546,9.073,4.65,90,0,0
32,MovingLight_77,Generic Dimmer,Generic Dimmer,1ch,0,1,3.09m,9.07m,-4.65m,0°,180°,0°,3.09,9.073,4.65,90,0,0
37,MovingLight_78,Generic Dimmer,Generic Dimmer,1ch,0,1,4.61m,9.07m,-4.65m,0°,180°,0°,4.606,9.073,4.65,90,0,0
42,MovingLight_79,Generic Dimmer,Generic Dimmer,1ch,0,1,6.17m,9.07m,-4.65m,0°,180°,0°,6.17,9.073,4.65,90,0,0
5,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.16m,8.73m,-4.65m,0°,180°,0°,-6.155,8.728,4.65,90,0,0
6,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.16m,8.73m,-4.65m,0°,180°,0°,-6.155,8.728,4.65,90,0,0
11,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.63m,8.73m,-4.65m,0°,180°,0°,-4.629,8.728,4.65,90,0,0
16,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.08m,8.73m,-4.65m,0°,180°,0°,-3.08,8.728,4.65,90,0,0
21,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.54m,8.73m,-4.65m,0°,180°,0°,-1.536,8.728,4.65,90,0,0
26,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0m,8.73m,-4.65m,0°,180°,0°,-0.005,8.728,4.65,90,0,0
31,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,1.55m,8.73m,-4.65m,0°,180°,0°,1.546,8.728,4.65,90,0,0
