Head no,Universe,DMX Address,X Pos,Y Pos,Z Pos,RotX,RotY,RotZ,Name,Path
0,0,0,0,0,0,0,0,0,MBLight,Lighting/MBLight
0,1,136,-5.42,8.827,4.594,272.21,180,0,DotsColorWasher,Lighting/MBLight/DotsColorWasher
0,1,137,-3.802,8.827,4.594,272.21,180,0,DotsColorWasher_1,Lighting/MBLight/DotsColorWasher_1
0,1,138,-2.35,8.827,4.594,272.21,180,0,DotsColorWasher_2,Lighting/MBLight/DotsColorWasher_2
0,1,139,-0.72,8.827,4.594,272.21,180,0,DotsColorWasher_3,Lighting/MBLight/DotsColorWasher_3
0,1,140,0.735,8.827,4.594,272.21,180,0,DotsColorWasher_4,Lighting/MBLight/DotsColorWasher_4
0,1,141,2.359,8.827,4.594,272.21,180,0,DotsColorWasher_5,Lighting/MBLight/DotsColorWasher_5
0,1,142,3.823,8.827,4.594,272.21,180,0,DotsColorWasher_6,Lighting/MBLight/DotsColorWasher_6
0,1,143,5.44,8.827,4.594,272.21,180,0,DotsColorWasher_7,Lighting/MBLight/DotsColorWasher_7
0,1,144,6.9,8.827,4.594,272.21,180,0,DotsColorWasher_8,Lighting/MBLight/DotsColorWasher_8
0,0,0,-5.42,8.827,4.594,272.21,180,0,DotsColorWasher,Lighting/MBLight/DotsColorWasher/DotsColorWasher
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_01.001,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_01.001
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_02,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_02
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_03,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_03
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_04,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_04
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_05,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_05
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_06,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_06
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_06.001,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_06.001
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_07,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_07
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_08,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_08
0,0,0,-5.42,8.827,4.594,272.21,180,0,LED_DotsColorWasher_09,Lighting/MBLight/DotsColorWasher/LED_DotsColorWasher_09
0,0,0,-3.802,8.827,4.594,272.21,180,0,DotsColorWasher,Lighting/MBLight/DotsColorWasher_1/DotsColorWasher
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_01.001,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_01.001
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_02,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_02
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_03,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_03
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_04,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_04
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_05,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_05
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_06,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_06
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_06.001,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_06.001
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_07,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_07
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_08,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_08
0,0,0,-3.802,8.827,4.594,272.21,180,0,LED_DotsColorWasher_09,Lighting/MBLight/DotsColorWasher_1/LED_DotsColorWasher_09
0,0,0,-2.35,8.827,4.594,272.21,180,0,DotsColorWasher,Lighting/MBLight/DotsColorWasher_2/DotsColorWasher
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_01.001,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_01.001
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_02,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_02
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_03,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_03
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_04,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_04
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_05,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_05
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_06,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_06
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_06.001,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_06.001
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_07,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_07
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_08,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_08
0,0,0,-2.35,8.827,4.594,272.21,180,0,LED_DotsColorWasher_09,Lighting/MBLight/DotsColorWasher_2/LED_DotsColorWasher_09
0,0,0,-0.72,8.827,4.594,272.21,180,0,DotsColorWasher,Lighting/MBLight/DotsColorWasher_3/DotsColorWasher
0,0,0,-0.72,8.827,4.594,272.21,180,0,LED_DotsColorWasher_01.001,Lighting/MBLight/DotsColorWasher_3/LED_DotsColorWasher_01.001
0,0,0,-0.72,8.827,4.594,272.21,180,0,LED_DotsColorWasher_02,Lighting/MBLight/DotsColorWasher_3/LED_DotsColorWasher_02
0,0,0,-0.72,8.827,4.594,272.21,180,0,LED_DotsColorWasher_03,Lighting/MBLight/DotsColorWasher_3/LED_DotsColorWasher_03
0,0,0,-0.72,8.827,4.594,272.21,180,0,LED_DotsColorWasher_04,Lighting/MBLight/DotsColorWasher_3/LED_DotsColorWasher_04
