Head,Name,Manufacturer,Model,Mode,Universe,Address,X Pos(MagicQ),Y Pos(MagicQ),Z Pos(MagicQ),X Rot(MagicQ),Y Rot(MagicQ),Z Rot(MagicQ),X Pos(Unity),Y Pos(Unity),Z Pos(Unity),X Rot(Unity),Y Rot(Unity),Z Rot(Unity)
1,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.01m,8.74m,-1.62m,-90°,180°,0°,0.01,8.743,1.617,0,0,0
2,ParLight_ver12_WithLight,Generic Dimmer,Generic Dimmer,1ch,0,1,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
54,ParLight_ver12_WithLight_1,Generic Dimmer,Generic Dimmer,1ch,0,1,-6.9m,8.74m,-1.62m,-179.98°,90°,0°,-6.896,8.743,1.617,270.02,270,0
106,ParLight_ver12_WithLight_2,Generic Dimmer,Generic Dimmer,1ch,0,1,-6.64m,8.74m,-1.62m,-179.98°,90°,0°,-6.636,8.743,1.617,270.02,270,0
158,ParLight_ver12_WithLight_3,Generic Dimmer,Generic Dimmer,1ch,1,155,-5.65m,8.74m,-1.62m,-179.98°,90°,0°,-5.65,8.743,1.617,270.02,270,0
210,ParLight_ver12_WithLight_4,Generic Dimmer,Generic Dimmer,1ch,1,156,-5.38m,8.74m,-1.62m,-179.98°,90°,0°,-5.383,8.743,1.617,270.02,270,0
262,ParLight_ver12_WithLight_5,Generic Dimmer,Generic Dimmer,1ch,1,157,-5.12m,8.74m,-1.62m,-179.98°,90°,0°,-5.123,8.743,1.617,270.02,270,0
314,ParLight_ver12_WithLight_6,Generic Dimmer,Generic Dimmer,1ch,1,158,-4.08m,8.74m,-1.62m,-179.98°,90°,0°,-4.084,8.743,1.617,270.02,270,0
366,ParLight_ver12_WithLight_7,Generic Dimmer,Generic Dimmer,1ch,1,159,-3.82m,8.74m,-1.62m,-179.98°,90°,0°,-3.817,8.743,1.617,270.02,270,0
418,ParLight_ver12_WithLight_8,Generic Dimmer,Generic Dimmer,1ch,1,160,-3.56m,8.74m,-1.62m,-179.98°,90°,0°,-3.557,8.743,1.617,270.02,270,0
470,ParLight_ver12_WithLight_9,Generic Dimmer,Generic Dimmer,1ch,1,161,-2.56m,8.74m,-1.62m,-179.98°,90°,0°,-2.56,8.743,1.617,270.02,270,0
522,ParLight_ver12_WithLight_10,Generic Dimmer,Generic Dimmer,1ch,1,162,-2.29m,8.74m,-1.62m,-179.98°,90°,0°,-2.293,8.743,1.617,270.02,270,0
574,ParLight_ver12_WithLight_11,Generic Dimmer,Generic Dimmer,1ch,1,163,-2.03m,8.74m,-1.62m,-179.98°,90°,0°,-2.033,8.743,1.617,270.02,270,0
626,ParLight_ver12_WithLight_12,Generic Dimmer,Generic Dimmer,1ch,1,164,-1.02m,8.74m,-1.62m,-179.98°,90°,0°,-1.019,8.743,1.617,270.02,270,0
678,ParLight_ver12_WithLight_13,Generic Dimmer,Generic Dimmer,1ch,1,165,-0.75m,8.74m,-1.62m,-179.98°,90°,0°,-0.752,8.743,1.617,270.02,270,0
730,ParLight_ver12_WithLight_14,Generic Dimmer,Generic Dimmer,1ch,1,166,-0.49m,8.74m,-1.62m,-179.98°,90°,0°,-0.492,8.743,1.617,270.02,270,0
782,ParLight_ver12_WithLight_15,Generic Dimmer,Generic Dimmer,1ch,1,167,0.53m,8.74m,-1.62m,-179.98°,90°,0°,0.533,8.743,1.617,270.02,270,0
834,ParLight_ver12_WithLight_16,Generic Dimmer,Generic Dimmer,1ch,1,168,0.8m,8.74m,-1.62m,-179.98°,90°,0°,0.8,8.743,1.617,270.02,270,0
886,ParLight_ver12_WithLight_17,Generic Dimmer,Generic Dimmer,1ch,1,169,1.06m,8.74m,-1.62m,-179.98°,90°,0°,1.06,8.743,1.617,270.02,270,0
938,ParLight_ver12_WithLight_18,Generic Dimmer,Generic Dimmer,1ch,1,170,2.12m,8.74m,-1.62m,-179.98°,90°,0°,2.119,8.743,1.617,270.02,270,0
990,ParLight_ver12_WithLight_19,Generic Dimmer,Generic Dimmer,1ch,1,171,2.39m,8.74m,-1.62m,-179.98°,90°,0°,2.386,8.743,1.617,270.02,270,0
1042,ParLight_ver12_WithLight_20,Generic Dimmer,Generic Dimmer,1ch,1,172,2.65m,8.74m,-1.62m,-179.98°,90°,0°,2.646,8.743,1.617,270.02,270,0
1094,ParLight_ver12_WithLight_21,Generic Dimmer,Generic Dimmer,1ch,1,173,3.56m,8.74m,-1.62m,-179.98°,90°,0°,3.56,8.743,1.617,270.02,270,0
1146,ParLight_ver12_WithLight_22,Generic Dimmer,Generic Dimmer,1ch,1,174,3.83m,8.74m,-1.62m,-179.98°,90°,0°,3.827,8.743,1.617,270.02,270,0
1198,ParLight_ver12_WithLight_23,Generic Dimmer,Generic Dimmer,1ch,1,175,4.09m,8.74m,-1.62m,-179.98°,90°,0°,4.087,8.743,1.617,270.02,270,0
1250,ParLight_ver12_WithLight_24,Generic Dimmer,Generic Dimmer,1ch,1,176,5.15m,8.74m,-1.62m,-179.98°,90°,0°,5.153,8.743,1.617,270.02,270,0
1302,ParLight_ver12_WithLight_25,Generic Dimmer,Generic Dimmer,1ch,1,177,5.42m,8.74m,-1.62m,-179.98°,90°,0°,5.42,8.743,1.617,270.02,270,0
1354,ParLight_ver12_WithLight_26,Generic Dimmer,Generic Dimmer,1ch,1,178,5.68m,8.74m,-1.62m,-179.98°,90°,0°,5.68,8.743,1.617,270.02,270,0
1406,ParLight_ver12_WithLight_27,Generic Dimmer,Generic Dimmer,1ch,0,1,6.67m,8.74m,-1.62m,-179.98°,90°,0°,6.668,8.743,1.617,270.02,270,0
1458,ParLight_ver12_WithLight_28,Generic Dimmer,Generic Dimmer,1ch,0,1,6.94m,8.74m,-1.62m,-179.98°,90°,0°,6.935,8.743,1.617,270.02,270,0
1510,ParLight_ver12_WithLight_29,Generic Dimmer,Generic Dimmer,1ch,0,1,7.2m,8.74m,-1.62m,-179.98°,90°,0°,7.195,8.743,1.617,270.02,270,0
5,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
6,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
7,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
8,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
9,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
10,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
11,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
12,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
13,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-7.16m,8.74m,-1.62m,-179.98°,90°,0°,-7.163,8.743,1.617,270.02,270,0
65,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.9m,8.74m,-1.62m,-179.98°,90°,0°,-6.896,8.743,1.617,270.02,270,0
117,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-6.64m,8.74m,-1.62m,-179.98°,90°,0°,-6.636,8.743,1.617,270.02,270,0
169,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.65m,8.74m,-1.62m,-179.98°,90°,0°,-5.65,8.743,1.617,270.02,270,0
221,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.38m,8.74m,-1.62m,-179.98°,90°,0°,-5.383,8.743,1.617,270.02,270,0
273,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-5.12m,8.74m,-1.62m,-179.98°,90°,0°,-5.123,8.743,1.617,270.02,270,0
325,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-4.08m,8.74m,-1.62m,-179.98°,90°,0°,-4.084,8.743,1.617,270.02,270,0
377,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.82m,8.74m,-1.62m,-179.98°,90°,0°,-3.817,8.743,1.617,270.02,270,0
429,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-3.56m,8.74m,-1.62m,-179.98°,90°,0°,-3.557,8.743,1.617,270.02,270,0
481,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.56m,8.74m,-1.62m,-179.98°,90°,0°,-2.56,8.743,1.617,270.02,270,0
533,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.29m,8.74m,-1.62m,-179.98°,90°,0°,-2.293,8.743,1.617,270.02,270,0
585,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-2.03m,8.74m,-1.62m,-179.98°,90°,0°,-2.033,8.743,1.617,270.02,270,0
637,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-1.02m,8.74m,-1.62m,-179.98°,90°,0°,-1.019,8.743,1.617,270.02,270,0
689,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.75m,8.74m,-1.62m,-179.98°,90°,0°,-0.752,8.743,1.617,270.02,270,0
741,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,-0.49m,8.74m,-1.62m,-179.98°,90°,0°,-0.492,8.743,1.617,270.02,270,0
793,ParLight,Generic Dimmer,Generic Dimmer,1ch,0,0,0.53m,8.74m,-1.62m,-179.98°,90°,0°,0.533,8.743,1.617,270.02,270,0
