Head no,Universe,DMX Address,X Pos,Y Pos,Z Pos,Name,Path
0,0,0,0,0,0,MovingLightGroup,MovingLightGroup
0,0,1,-6.155,9.073,-4.35,MovingLight,MovingLightGroup/MovingLight
0,0,10,-4.629,9.073,-4.35,MovingLight_1,MovingLightGroup/MovingLight_1
0,0,19,-3.08,9.073,-4.35,MovingLight_2,MovingLightGroup/MovingLight_2
0,0,28,-1.536,9.073,-4.35,MovingLight_3,MovingLightGroup/MovingLight_3
0,0,37,-0.005,9.073,-4.35,MovingLight_4,MovingLightGroup/MovingLight_4
0,0,46,1.546,9.073,-4.35,MovingLight_5,MovingLightGroup/MovingLight_5
0,0,55,3.09,9.073,-4.35,MovingLight_6,MovingLightGroup/MovingLight_6
0,0,64,4.606,9.073,-4.35,MovingLight_7,MovingLightGroup/MovingLight_7
0,0,73,6.17,9.073,-4.35,MovingLight_8,MovingLightGroup/MovingLight_8
0,0,82,-6.155,9.073,-1.34,MovingLight_9,MovingLightGroup/MovingLight_9
0,0,91,-4.629,9.073,-1.34,MovingLight_10,MovingLightGroup/MovingLight_10
0,0,100,-3.08,9.073,-1.34,MovingLight_11,MovingLightGroup/MovingLight_11
0,0,109,-1.536,9.073,-1.34,MovingLight_12,MovingLightGroup/MovingLight_12
0,0,118,-0.005,9.073,-1.34,MovingLight_13,MovingLightGroup/MovingLight_13
0,0,127,1.546,9.073,-1.34,MovingLight_14,MovingLightGroup/MovingLight_14
0,0,136,3.09,9.073,-1.34,MovingLight_15,MovingLightGroup/MovingLight_15
0,0,145,4.606,9.073,-1.34,MovingLight_16,MovingLightGroup/MovingLight_16
0,0,154,6.17,9.073,-1.34,MovingLight_17,MovingLightGroup/MovingLight_17
0,0,163,-6.155,9.073,1.64,MovingLight_18,MovingLightGroup/MovingLight_18
0,0,172,-4.629,9.073,1.64,MovingLight_19,MovingLightGroup/MovingLight_19
0,0,181,-3.08,9.073,1.64,MovingLight_20,MovingLightGroup/MovingLight_20
0,0,190,-1.536,9.073,1.64,MovingLight_21,MovingLightGroup/MovingLight_21
0,0,199,-0.005,9.073,1.64,MovingLight_22,MovingLightGroup/MovingLight_22
0,0,208,1.546,9.073,1.64,MovingLight_23,MovingLightGroup/MovingLight_23
0,0,217,3.09,9.073,1.64,MovingLight_24,MovingLightGroup/MovingLight_24
0,0,226,4.606,9.073,1.64,MovingLight_25,MovingLightGroup/MovingLight_25
0,0,235,6.17,9.073,1.64,MovingLight_26,MovingLightGroup/MovingLight_26
0,0,244,-7.988,3.647,3.915,MovingLight_27,MovingLightGroup/MovingLight_27
0,0,253,-3.994,3.647,3.915,MovingLight_28,MovingLightGroup/MovingLight_28
0,0,262,-0.023,3.647,3.915,MovingLight_29,MovingLightGroup/MovingLight_29
0,0,271,3.992,3.647,3.915,MovingLight_30,MovingLightGroup/MovingLight_30
0,0,280,7.995,3.647,3.915,MovingLight_31,MovingLightGroup/MovingLight_31
0,0,289,-7.98,0.49,-3.11,MovingLight_32,MovingLightGroup/MovingLight_32
0,0,298,-4.003,0.49,-3.11,MovingLight_33,MovingLightGroup/MovingLight_33
0,0,307,-0.007,0.49,-3.11,MovingLight_34,MovingLightGroup/MovingLight_34
0,0,316,3.998,0.49,-3.11,MovingLight_35,MovingLightGroup/MovingLight_35
0,0,325,7.999,0.49,-3.11,MovingLight_36,MovingLightGroup/MovingLight_36
0,0,334,11.806,1.795,-4.318,MovingLight_37,MovingLightGroup/MovingLight_37
0,0,343,11.806,1.795,-1.122,MovingLight_38,MovingLightGroup/MovingLight_38
0,0,352,11.806,1.795,2.158,MovingLight_39,MovingLightGroup/MovingLight_39
0,0,361,11.806,3.796,-4.318,MovingLight_40,MovingLightGroup/MovingLight_40
0,0,370,11.806,3.796,-1.122,MovingLight_41,MovingLightGroup/MovingLight_41
0,0,379,11.806,3.796,2.158,MovingLight_42,MovingLightGroup/MovingLight_42
0,0,388,11.806,5.818,-4.318,MovingLight_43,MovingLightGroup/MovingLight_43
